Value, Filtered Value, Time
0, 0.01046669, 1.052949
3, 1, 1.057202
0, 0.01049674, 1.060779
2, 1, 1.065362
0, 0.007348776, 1.069118
2, 1, 1.073393
0, 0.007716537, 1.077338
1, 0.9959963, 1.081431
0, 0.00393486, 1.085454
4, 1, 1.089546
0, 0.01511931, 1.09341
1, 0.9960738, 1.097425
0, 0.003481448, 1.100983
3, 1, 1.105383
0, 0.011168, 1.109188
2, 1, 1.113237
0, 0.007313609, 1.116976
3, 1, 1.121002
0, 0.011558, 1.124941
2, 1, 1.129051
0, 0.007091999, 1.132675
3, 1, 1.136804
0, 0.01420587, 1.141648
2, 1, 1.153483
2, 1, 1.158739
2, 1, 1.162871
0, 0.007436514, 1.166672
4, 1, 1.170991
0, 0.0148921, 1.174797
2, 1, 1.179989
0, 0.007660627, 1.183905
0, 0, 1.188183
1, 0.9955013, 1.192784
0, 0.003794909, 1.196664
0, 0, 1.2004
0, 0, 1.205311
0, 0, 1.209153
0, 0, 1.213452
0, 0, 1.217174
0, 0, 1.220869
0, 0, 1.224934
0, 0, 1.228824
0, 0, 1.232427
0, 0, 1.236626
1, 0.9957799, 1.240941
0, 0.003973067, 1.245003
1, 0.9961573, 1.248932
0, 0.003918171, 1.252938
2, 1, 1.257509
0, 0.007655144, 1.261422
1, 0.9950684, 1.266467
1, 1, 1.271811
0, 0.003774762, 1.27567
2, 1, 1.279953
0, 0.007665515, 1.283871
1, 0.9951268, 1.288856
0, 0.003736496, 1.292676
4, 1, 1.297552
0, 0.01598501, 1.301638
1, 0.9953176, 1.306427
0, 0.003840864, 1.310354
4, 1, 1.314825
0, 0.01478505, 1.318604
3, 1, 1.323136
3, 1, 1.327872
0, 0.01207924, 1.331989
3, 1, 1.33645
0, 0.01491219, 1.341534
4, 1, 1.346146
0, 0.01632166, 1.350318
2, 1, 1.354746
0, 0.007496476, 1.358578
4, 1, 1.363025
3, 1, 1.367645
0, 0.01150739, 1.371567
0, 0, 1.37567
0, 0, 1.379585
3, 1, 1.383965
0, 0.01201755, 1.38806
4, 1, 1.393027
0, 0.01422811, 1.396663
1, 0.9957703, 1.400988
0, 0.004329622, 1.405416
4, 1, 1.410119
0, 0.01602459, 1.414215
3, 1, 1.418612
0, 0.0108102, 1.422296
0, 0, 1.426187
0, 0, 1.429902
0, 0, 1.433316
0, 0, 1.436793
0, 0, 1.440903
0, 0, 1.444558
2, 1, 1.448568
0, 0.007447004, 1.452374
-1, -0.9963593, 1.456096
0, -0.003651977, 1.459829
0, 0, 1.463342
0, 0, 1.46722
0, 0, 1.470549
0, 0, 1.474002
0, 0, 1.477515
0, 0, 1.481011
0, 0, 1.484584
0, 0, 1.487956
0, 0, 1.491666
0, 0, 1.495418
0, 0, 1.498898
0, 0, 1.502465
0, 0, 1.505985
0, 0, 1.509467
2, 1, 1.514372
1, 1, 1.526779
2, 1, 1.53193
2, 1, 1.535991
0, 0.006717563, 1.539424
1, 0.9963788, 1.543126
0, 0.00383842, 1.54705
0, 0, 1.551025
2, 1, 1.557869
1, 1, 1.561906
0, 0.003705561, 1.565694
2, 1, 1.570117
0, 0.007288814, 1.573843
0, 0, 1.577411
0, 0, 1.580904
3, 1, 1.584801
0, 0.01101708, 1.588555
1, 0.9964362, 1.592198
0, 0.003716588, 1.595998
2, 1, 1.599831
0, 0.007856727, 1.603848
1, 0.9960465, 1.60789
0, 0.003477335, 1.611445
2, 1, 1.615638
0, 0.006889224, 1.619159
0, 0, 1.622555
1, 0.9956989, 1.626954
0, 0.003347158, 1.630375
0, 0, 1.63395
0, 0, 1.637468
0, 0, 1.640763
0, 0, 1.644461
0, 0, 1.647849
0, 0, 1.651378
0, 0, 1.655067
0, 0, 1.659344
0, 0, 1.662671
0, 0, 1.666425
0, 0, 1.669808
1, 0.9956289, 1.674278
0, 0.003333807, 1.677686
0, 0, 1.681763
0, 0, 1.686274
0, 0, 1.689714
0, 0, 1.693043
1, 0.9929789, 1.700232
3, 1, 1.70534
0, 0.01618445, 1.71086
3, 1, 1.716998
2, 1, 1.722616
0, 0.007302284, 1.726349
3, 1, 1.73123
4, 1, 1.736731
0, 0.01442981, 1.740419
3, 1, 1.744595
0, 0.0112499, 1.748429
7, 1, 1.752176
0, 0.02997816, 1.756555
3, 1, 1.760427
0, 0.01065999, 1.76406
5, 1, 1.76791
0, 0.01760364, 1.771509
4, 1, 1.775445
0, 0.01543307, 1.77939
4, 1, 1.783544
0, 0.01395822, 1.787111
0, 0, 1.790465
4, 1, 1.794312
0, 0.015836, 1.79836
5, 1, 1.802248
0, 0.01751065, 1.805828
3, 1, 1.809738
0, 0.009984612, 1.81314
3, 1, 1.817093
0, 0.01262748, 1.821398
5, 1, 1.825586
0, 0.01950264, 1.829574
2, 1, 1.833509
0, 0.006918311, 1.837045
2, 1, 1.84111
0, 0.007240057, 1.84481
1, 0.9962209, 1.848674
0, 0.003350496, 1.852098
0, 0, 1.855737
0, 0, 1.85998
2, 1, 1.863899
0, 0.008299351, 1.868142
0, 0, 1.873099
0, 0, 1.877677
0, 0, 1.881052
0, 0, 1.885664
0, 0, 1.889323
2, 1, 1.901481
3, 1, 1.906626
0, 0.01075602, 1.910291
1, 0.9963116, 1.914062
0, 0.003882468, 1.918031
0, 0, 1.921789
0, 0, 1.925506
2, 1, 1.929395
0, 0.008066893, 1.933519
3, 1, 1.937413
0, 0.01000249, 1.940821
1, 0.9958616, 1.945052
0, 0.003418565, 1.948547
3, 1, 1.952516
0, 0.01226735, 1.956697
4, 1, 1.960487
0, 0.01438403, 1.964163
4, 1, 1.968167
0, 0.01337886, 1.971585
4, 1, 1.976223
0, 0.0150702, 1.980075
3, 1, 1.984352
0, 0.01093966, 1.98808
4, 1, 1.99182
0, 0.01672649, 1.996096
0, 0, 1.999681
0, 0, 2.003407
2, 1, 2.007113
0, 0.007753253, 2.011076
0, 0, 2.014557
3, 1, 2.01861
0, 0.01543951, 2.023875
0, 0, 2.027606
0, 0, 2.031248
0, 0, 2.036328
0, 0, 2.039635
0, 0, 2.043481
1, 0.9959962, 2.047575
0, 0.003367662, 2.051017
0, 0, 2.054479
4, 1, 2.058455
0, 0.01502109, 2.062294
3, 1, 2.066486
0, 0.01002449, 2.069902
2, 1, 2.073962
0, 0.007988453, 2.078046
0, 0, 2.081492
0, 0, 2.086266
2, 1, 2.090082
0, 0.007205725, 2.093765
0, 0, 2.097201
0, 0, 2.100763
0, 0, 2.105045
0, 0, 2.108329
3, 1, 2.112159
0, 0.01049513, 2.115735
4, 1, 2.120624
0, 0.01392865, 2.124183
4, 1, 2.128236
0, 0.01370382, 2.131738
3, 1, 2.136607
0, 0.0108524, 2.140305
4, 1, 2.14455
0, 0.01736617, 2.14899
4, 1, 2.15336
0, 0.01375747, 2.156876
2, 1, 2.161357
0, 0.007610679, 2.165247
4, 1, 2.169226
0, 0.01425123, 2.172868
4, 1, 2.177508
0, 0.01407576, 2.181105
2, 1, 2.185292
0, 0.006843567, 2.18879
5, 1, 2.192843
0, 0.01910716, 2.19675
3, 1, 2.201051
0, 0.01239699, 2.205276
2, 1, 2.209502
